Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2017-04,Esercizi extralberghieri,30146,36473
Arrivi,2017-05,Esercizi alberghieri,50580,85452
Arrivi,2017-05,Esercizi extralberghieri,17232,32990
Arrivi,2017-06,Esercizi alberghieri,137606,124998
Arrivi,2017-06,Esercizi extralberghieri,50691,70058
Arrivi,2017-07,Esercizi alberghieri,307469,154780
Arrivi,2017-07,Esercizi extralberghieri,109047,110471
Arrivi,2017-08,Esercizi alberghieri,364050,125199
Arrivi,2017-08,Esercizi extralberghieri,132713,96432
Arrivi,2017-09,Esercizi alberghieri,131631,135471
Arrivi,2017-09,Esercizi extralberghieri,34094,58528
Arrivi,2017-10,Esercizi alberghieri,59601,77311
Arrivi,2017-10,Esercizi extralberghieri,17900,24395
Arrivi,2017-11,Esercizi alberghieri,45526,16191
Arrivi,2017-11,Esercizi extralberghieri,11699,3089
Arrivi,2017-12,Esercizi alberghieri,275592,50264
Arrivi,2017-12,Esercizi extralberghieri,61951,9531
Presenze,2017-01,Esercizi alberghieri,889576,513157
Presenze,2017-01,Esercizi extralberghieri,166226,98996
Presenze,2017-02,Esercizi alberghieri,714004,752176
Presenze,2017-02,Esercizi extralberghieri,110261,139964
Presenze,2017-03,Esercizi alberghieri,696569,602227
Presenze,2017-03,Esercizi extralberghieri,110766,119856
Presenze,2017-04,Esercizi alberghieri,191974,319023
Presenze,2017-04,Esercizi extralberghieri,94225,143047
Presenze,2017-05,Esercizi alberghieri,101578,283088
Presenze,2017-05,Esercizi extralberghieri,69848,133014
Presenze,2017-06,Esercizi alberghieri,425307,431765
Presenze,2017-06,Esercizi extralberghieri,180088,321055
Presenze,2017-07,Esercizi alberghieri,1475201,548273
Presenze,2017-07,Esercizi extralberghieri,508979,539714
Presenze,2017-08,Esercizi alberghieri,1929874,475326
Presenze,2017-08,Esercizi extralberghieri,748467,564996
Presenze,2017-09,Esercizi alberghieri,492523,480294
Presenze,2017-09,Esercizi extralberghieri,148713,253351
Presenze,2017-10,Esercizi alberghieri,126644,263096
Presenze,2017-10,Esercizi extralberghieri,67902,105175
Presenze,2017-11,Esercizi alberghieri,87451,51327
Presenze,2017-11,Esercizi extralberghieri,53895,18533
Presenze,2017-12,Esercizi alberghieri,773659,209319
Presenze,2017-12,Esercizi extralberghieri,200197,45331
Arrivi,2018-01,Esercizi alberghieri,239144,108408
